gmDate,gmTime,offLNm,offFNm,teamAbbr,teamDiv,teamLoc,teamRslt,teamPTS,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,teamFTA,teamFTM,teamFT%,teamTRB,teamSTL%,teamBLK%,teamBLKR,timestamp
2012-11-03,20:00,Fitzgerald,Kane,CHI,Central,Home,Loss,82,12,11,6,20,88,29,0.3295,25,21,0.84,41,12.193,6.6507,8.4507,1351900800.0
2012-11-03,20:00,Williams,James,NO,Southwest,Away,Win,89,17,7,9,21,75,32,0.4267,23,20,0.8696,44,7.7592,9.9761,15.7895,1351900800.0
2012-11-03,20:30,Stafford,Derrick,CLE,Central,Away,Loss,102,16,9,0,21,83,39,0.4699,29,18,0.6207,42,8.9215,0.0,0.0,1351900800.0
2012-11-03,20:30,Workman,Haywoode,DAL,Southwest,Home,Win,126,22,6,7,23,80,49,0.6125,15,12,0.8,43,6.1429,7.1667,12.7273,1351900800.0
2012-11-03,20:30,Brothers,Tony,CHA,Southeast,Away,Loss,99,12,13,2,14,91,39,0.4286,24,18,0.75,38,13.3097,2.0476,2.7027,1351900800.0
2012-11-03,20:30,Fehr,Kevin,MIL,Central,Home,Win,105,17,8,9,18,79,41,0.519,21,14,0.6667,37,7.9302,8.9215,16.3636,1351900800.0
2012-11-03,20:30,Kogut,Marat,SA,Southwest,Home,Win,110,18,8,6,18,74,42,0.5676,23,19,0.8261,33,8.6354,6.4766,9.8361,1351900800.0
2012-11-03,20:30,Zarba,Zach,UTA,Northwest,Away,Loss,100,17,11,7,22,77,38,0.4935,22,19,0.8636,32,11.8737,7.556,10.9375,1351900800.0
2012-11-03,22:30,Mott,Rodney,GS,Pacific,Away,Win,114,14,7,2,34,84,41,0.4881,39,28,0.7179,48,7.1726,2.0493,2.9412,1351900800.0
2012-11-03,22:30,Mott,Rodney,LAC,Pacific,Home,Loss,110,16,6,5,31,70,30,0.4286,52,40,0.7692,33,6.1479,5.1233,10.2041,1351900800.0
2012-11-04,12:00,Palmer,Violet,PHI,Atlantic,Away,Loss,84,18,8,2,18,79,34,0.4304,10,8,0.8,41,8.8831,2.2208,3.2258,1351987200.0
2012-11-04,12:00,Corbin,Sean,NY,Atlantic,Home,Win,100,15,12,5,10,77,39,0.5065,18,11,0.6111,39,13.3247,5.5520000000000005,10.0,1351987200.0
2012-11-04,18:00,Tiven,Josh,TOR,Atlantic,Home,Win,105,11,9,3,24,90,40,0.4444,17,15,0.8824,39,10.0513,3.3504,4.3478,1351987200.0
2012-11-04,18:00,Fraher,Pat,MIN,Northwest,Away,Loss,86,24,8,8,17,64,29,0.4531,31,22,0.7097,36,8.9345,8.9345,16.6667,1351987200.0
2012-11-04,18:00,Wright,Sean,PHO,Pacific,Away,Loss,94,16,3,10,17,91,39,0.4286,18,11,0.6111,45,3.159,10.5299,13.8889,1351987200.0
2012-11-04,18:00,Garretson,Ron,ORL,Southeast,Home,Win,115,11,7,1,17,92,45,0.4891,19,16,0.8421,46,7.3709,1.053,1.2346,1351987200.0
2012-11-04,19:00,Wall,Scott,OKC,Northwest,Home,Loss,95,21,4,9,21,71,33,0.4648,22,20,0.9091,37,4.4117,9.9263,18.3673,1351987200.0
2012-11-04,19:00,Wall,Scott,ATL,Southeast,Away,Win,104,11,12,1,20,83,41,0.494,20,14,0.7,38,13.2351,1.1029,1.7241,1351987200.0
2012-11-04,21:30,Poole,Olandis,LAL,Pacific,Home,Win,108,15,11,8,20,77,40,0.5195,26,18,0.6923,46,12.6794,9.2214,14.5455,1351987200.0
2012-11-04,21:30,Mauer,Ken,DET,Central,Away,Loss,79,17,5,5,20,79,28,0.3544,23,19,0.8261,33,5.7634,5.7634,7.5758,1351987200.0
2012-11-05,19:00,Kirkland,Courtney,NY,Atlantic,Away,Win,110,7,7,5,17,84,39,0.4643,19,19,1.0,44,7.9234,5.6596,9.6154,1352073600.0
2012-11-05,19:00,Kirkland,Courtney,PHI,Atlantic,Home,Loss,88,13,3,2,19,86,29,0.3372,26,22,0.8462,54,3.3958,2.2638,3.125,1352073600.0
2012-11-05,19:30,Crawford,Dan,PHO,Pacific,Away,Loss,99,12,11,7,19,88,35,0.3977,29,22,0.7586,38,10.9481,6.9670000000000005,10.4478,1352073600.0
2012-11-05,19:30,Zarba,Zach,MIA,Southeast,Home,Win,124,15,7,4,22,86,47,0.5465,19,15,0.7895,49,6.9670000000000005,3.9811,6.6667,1352073600.0
2012-11-05,19:30,Richardson,Derek,BKN,Atlantic,Home,Loss,96,15,7,4,17,73,35,0.4795,18,13,0.7222,29,8.1846,4.6769,8.0,1352073600.0
